country,indicator,transform,regression,subperiod,start,end,adf_stat,adf_pvalue,adf_usedlag,adf_nobs,adf_crit_5pct,adf_maxlag,adf_error,kpss_stat,kpss_pvalue,kpss_lags,kpss_crit_5pct,kpss_interp_flag,kpss_error,classification,n_obs,small_sample_flag,hard_warn_flag
USA,CPI,first_diff,c,full,2001-02,2025-10,-2.6659043315120026,0.08012640864440368,14,282,-2.8718443180148836,15,,0.7445361755278687,0.01,7,0.463,True,,Non-stationary,297,False,False
USA,CPI,first_diff,c,pre_2020,2001-02,2019-12,-9.944859090229949,2.6058119754606312e-17,1,225,-2.874472927517147,14,,0.06119914655515276,0.1,2,0.463,True,,Stationary,227,False,False
USA,CPI,first_diff,c,post_2020,2020-01,2025-10,-1.7195478628760419,0.4210700125519063,7,62,-2.9094272025108254,10,,0.24675028224660023,0.1,3,0.463,True,,Inconclusive,70,False,False
USA,CPI,yoy_pct,c,full,2002-01,2025-10,-2.9474308949013723,0.04010393341839058,15,270,-2.872304928618605,15,,0.352045480362799,0.09782522398155216,10,0.463,False,,Stationary,286,False,False
USA,CPI,yoy_pct,c,pre_2020,2002-01,2019-12,-2.2019267460808845,0.20554690253952618,13,202,-2.8759570379821047,14,,0.3850505241329721,0.08359891201164996,9,0.463,False,,Inconclusive,216,False,False
USA,CPI,yoy_pct,c,post_2020,2020-01,2025-10,-3.653271333440791,0.00482056479320478,10,59,-2.911939409384601,10,,0.24291309986949225,0.1,5,0.463,True,,Stationary,70,False,False
USA,CPI,log_diff_pct,c,full,2001-02,2025-10,-3.105214256721387,0.02616970891153169,14,282,-2.8718443180148836,15,,0.31530758993821156,0.1,6,0.463,True,,Stationary,297,False,False
USA,CPI,log_diff_pct,c,pre_2020,2001-02,2019-12,-10.092553852982146,1.1122916053567285e-17,1,225,-2.874472927517147,14,,0.17204417858710497,0.1,2,0.463,True,,Stationary,227,False,False
USA,CPI,log_diff_pct,c,post_2020,2020-01,2025-10,-1.5598943951803763,0.5037021892328465,7,62,-2.9094272025108254,10,,0.27919928216625534,0.1,3,0.463,True,,Inconclusive,70,False,False
JAPAN,CPI,first_diff,c,full,2001-02,2025-10,-2.3744551828491107,0.1490764109884397,11,285,-2.8717352599720294,15,,1.4803781185876408,0.01,3,0.463,True,,Non-stationary,297,False,False
JAPAN,CPI,first_diff,c,pre_2020,2001-02,2019-12,-3.186093578955536,0.020803881126800837,11,215,-2.875078880098608,14,,0.3743997002634572,0.08818978436919948,6,0.463,False,,Stationary,227,False,False
JAPAN,CPI,first_diff,c,post_2020,2020-01,2025-10,-7.887828484758253,4.519693056672418e-12,0,69,-2.9044395987933362,10,,0.9698384932669589,0.01,1,0.463,True,,Trend-stationary (conflict),70,False,False
JAPAN,CPI,yoy_pct,c,full,2002-01,2025-10,-2.1156760285636578,0.2382580892828084,13,272,-2.8722253212300277,15,,1.1107781854337564,0.01,10,0.463,True,,Non-stationary,286,False,False
JAPAN,CPI,yoy_pct,c,pre_2020,2002-01,2019-12,-2.8217390947708867,0.055234963190944605,13,202,-2.8759570379821047,14,,0.4713407734743233,0.04812144741569296,9,0.463,False,,Non-stationary,216,False,False
JAPAN,CPI,yoy_pct,c,post_2020,2020-01,2025-10,-0.9548887546306103,0.7693601511229797,0,69,-2.9044395987933362,10,,0.9127793488477323,0.01,5,0.463,True,,Non-stationary,70,False,False
JAPAN,CPI,log_diff_pct,c,full,2001-02,2025-10,-2.544251953443511,0.1050751363120413,11,285,-2.8717352599720294,15,,1.3677746883950601,0.01,2,0.463,True,,Non-stationary,297,False,False
JAPAN,CPI,log_diff_pct,c,pre_2020,2001-02,2019-12,-3.1805522983350003,0.0211383488016501,11,215,-2.875078880098608,14,,0.36847589324721564,0.09074314946240705,6,0.463,False,,Stationary,227,False,False
JAPAN,CPI,log_diff_pct,c,post_2020,2020-01,2025-10,-7.9373324449455565,3.385921917869679e-12,0,69,-2.9044395987933362,10,,0.9164855980766872,0.01,1,0.463,True,,Trend-stationary (conflict),70,False,False
UK,CPI,first_diff,c,full,2001-02,2025-03,-2.9766230887184775,0.03713593455004818,15,274,-2.8721468827772774,15,,1.0301824363791356,0.01,6,0.463,True,,Trend-stationary (conflict),290,False,False
UK,CPI,first_diff,c,pre_2020,2001-02,2019-12,-2.819623606479305,0.05552488816471394,13,213,-2.875206950587861,14,,0.14877080880432786,0.1,7,0.463,True,,Inconclusive,227,False,False
UK,CPI,first_diff,c,post_2020,2020-01,2025-03,-1.8088860359481183,0.37605903316558226,9,53,-2.9178502070837,10,,0.3067559152311091,0.1,3,0.463,True,,Inconclusive,63,False,False
UK,CPI,yoy_pct,c,full,2002-01,2025-03,-2.4285538833873623,0.13383891521027363,12,266,-2.8724677563219485,15,,0.49055829081540975,0.04379317774427709,10,0.463,False,,Non-stationary,279,False,False
UK,CPI,yoy_pct,c,pre_2020,2002-01,2019-12,-2.087316630787043,0.24964513691833412,13,202,-2.8759570379821047,14,,0.23771309640601324,0.1,9,0.463,True,,Inconclusive,216,False,False
UK,CPI,yoy_pct,c,post_2020,2020-01,2025-03,-2.278492220384552,0.17899850593722016,9,53,-2.9178502070837,10,,0.3867567357591422,0.08286347596588697,5,0.463,False,,Inconclusive,63,False,False
UK,CPI,log_diff_pct,c,full,2001-02,2025-03,-3.221712546425437,0.018761773612489555,15,274,-2.8721468827772774,15,,0.6862036556499591,0.014799667668185534,3,0.463,False,,Trend-stationary (conflict),290,False,False
UK,CPI,log_diff_pct,c,pre_2020,2001-02,2019-12,-2.805281946704698,0.05752323166060563,13,213,-2.875206950587861,14,,0.16317391698711214,0.1,8,0.463,True,,Inconclusive,227,False,False
UK,CPI,log_diff_pct,c,post_2020,2020-01,2025-03,-1.7770738474880419,0.3919018174388586,9,53,-2.9178502070837,10,,0.2819709517421556,0.1,3,0.463,True,,Inconclusive,63,False,False
GERMANY,CPI,first_diff,c,full,2001-02,2025-03,-2.5190685207903134,0.11090341335670739,15,274,-2.8721468827772774,15,,0.7584619134991252,0.01,5,0.463,True,,Non-stationary,290,False,False
GERMANY,CPI,first_diff,c,pre_2020,2001-02,2019-12,-3.261378654082438,0.016695621786370417,13,213,-2.875206950587861,14,,0.029715863061815947,0.1,1,0.463,True,,Stationary,227,False,False
GERMANY,CPI,first_diff,c,post_2020,2020-01,2025-03,-2.99270493526381,0.0355813066306414,3,59,-2.911939409384601,10,,0.24283765499748508,0.1,3,0.463,True,,Stationary,63,False,False
GERMANY,CPI,yoy_pct,c,full,2002-01,2025-03,-3.050201243366145,0.030464821157461602,14,264,-2.8725510317187024,15,,0.5130579741572272,0.038725681496120004,10,0.463,False,,Trend-stationary (conflict),279,False,False
GERMANY,CPI,yoy_pct,c,pre_2020,2002-01,2019-12,-2.9916008324972494,0.035686256642753,12,203,-2.875885461947131,14,,0.19102514485612063,0.1,9,0.463,True,,Stationary,216,False,False
GERMANY,CPI,yoy_pct,c,post_2020,2020-01,2025-03,-2.3557321656436376,0.15462229855781162,5,57,-2.913766394626147,10,,0.33211095918718025,0.1,5,0.463,True,,Inconclusive,63,False,False
GERMANY,CPI,log_diff_pct,c,full,2001-02,2025-03,-2.582888411356169,0.09658570897794905,13,276,-2.87206958769775,15,,0.49130096708222387,0.04362590831481444,4,0.463,False,,Non-stationary,290,False,False
GERMANY,CPI,log_diff_pct,c,pre_2020,2001-02,2019-12,-3.2892776978017926,0.015364617997893895,11,215,-2.875078880098608,14,,0.07324374656054844,0.1,1,0.463,True,,Stationary,227,False,False
GERMANY,CPI,log_diff_pct,c,post_2020,2020-01,2025-03,-2.9522378917581844,0.03960196901641874,3,59,-2.911939409384601,10,,0.23685121737963918,0.1,3,0.463,True,,Stationary,63,False,False
