country,indicator,raw_level_classification,phase6_classification,phase6_var_input,chow_test_input,decision_code,pre_2020_classification,post_2020_classification,regime_shift_flag,justification
USA,CPI,Non-stationary,Stationary,yoy_pct,yoy_pct,CPI_YOY_STATIONARY,Inconclusive,Stationary,False,"Full-sample CPI classifications: first_diff=Non-stationary, yoy_pct=Stationary, log_diff_pct=Stationary. Sub-period yoy_pct: pre-2020=Inconclusive, post-2020=Stationary. Decision code: CPI_YOY_STATIONARY."
USA,POLICY_RATE,Inconclusive,Stationary,first_diff,first_diff,I1_STANDARD,Stationary,Stationary,False,Level = Inconclusive; first_diff = Stationary. Standard I(1) treatment.
USA,UNEMPLOYMENT,Trend-stationary (conflict),Stationary,first_diff,first_diff,CONFLICT_RESOLVED_BY_FIRSTDIFF,Stationary,Stationary,False,Level='c' = Conflict; 'ct' retest = Non-stationary; first_diff = Stationary. Adopted first_diff for cross-country VAR consistency.
USA,GDP,Stationary,Stationary,level,level,LEVEL_STATIONARY,Inconclusive,Inconclusive,False,Level series is Stationary under joint ADF+KPSS at the specified regression spec.
USA,M2,Stationary,Stationary,level,level,LEVEL_STATIONARY,Stationary,Non-stationary,False,Level series is Stationary under joint ADF+KPSS at the specified regression spec.
JAPAN,CPI,Non-stationary,Non-stationary,yoy_pct_with_regime_dummy,yoy_pct,CPI_REQUIRES_REGIME_DUMMY,Non-stationary,Non-stationary,True,"Full-sample CPI classifications: first_diff=Non-stationary, yoy_pct=Non-stationary, log_diff_pct=Non-stationary. Sub-period yoy_pct: pre-2020=Non-stationary, post-2020=Non-stationary. Decision code: CPI_REQUIRES_REGIME_DUMMY."
JAPAN,POLICY_RATE,Inconclusive,Stationary,first_diff,first_diff,I1_STANDARD,Stationary,Non-stationary,False,Level = Inconclusive; first_diff = Stationary. Standard I(1) treatment.
JAPAN,UNEMPLOYMENT,Non-stationary,Stationary,first_diff,first_diff,I1_STANDARD,Stationary,Stationary,False,Level = Non-stationary; first_diff = Stationary. Standard I(1) treatment.
JAPAN,GDP,Stationary,Stationary,level,level,LEVEL_STATIONARY,Stationary,Stationary,False,Level series is Stationary under joint ADF+KPSS at the specified regression spec.
JAPAN,M2,Non-stationary,Stationary,first_diff,first_diff,I1_STANDARD,Stationary,Stationary,False,Level = Non-stationary; first_diff = Stationary. Standard I(1) treatment.
UK,CPI,Non-stationary,Non-stationary,log_diff_pct_with_caveat,yoy_pct,CPI_LOGDIFF_CONFLICT,Inconclusive,Inconclusive,False,"Full-sample CPI classifications: first_diff=Trend-stationary (conflict), yoy_pct=Non-stationary, log_diff_pct=Trend-stationary (conflict). Sub-period yoy_pct: pre-2020=Inconclusive, post-2020=Inconclusive. Decision code: CPI_LOGDIFF_CONFLICT."
UK,POLICY_RATE,Non-stationary,Stationary,first_diff,first_diff,I1_STANDARD,Stationary,Inconclusive,False,Level = Non-stationary; first_diff = Stationary. Standard I(1) treatment.
UK,UNEMPLOYMENT,Non-stationary,Stationary,first_diff,first_diff,I1_STANDARD,Stationary,Stationary,False,Level = Non-stationary; first_diff = Stationary. Standard I(1) treatment.
UK,GDP,Stationary,Stationary,level,level,LEVEL_STATIONARY,Inconclusive,Stationary,False,Level series is Stationary under joint ADF+KPSS at the specified regression spec.
UK,M2,Non-stationary,Stationary,first_diff,first_diff,I1_STANDARD,Stationary,Stationary,False,Level = Non-stationary; first_diff = Stationary. Standard I(1) treatment.
GERMANY,CPI,Non-stationary,Trend-stationary (conflict),yoy_pct_with_caveat,yoy_pct,CPI_YOY_CONFLICT,Stationary,Inconclusive,False,"Full-sample CPI classifications: first_diff=Non-stationary, yoy_pct=Trend-stationary (conflict), log_diff_pct=Non-stationary. Sub-period yoy_pct: pre-2020=Stationary, post-2020=Inconclusive. Decision code: CPI_YOY_CONFLICT."
GERMANY,POLICY_RATE,Trend-stationary (conflict),Stationary,first_diff,first_diff,CONFLICT_RESOLVED_BY_FIRSTDIFF,Stationary,Inconclusive,False,Level='c' = Conflict; 'ct' retest = Non-stationary; first_diff = Stationary. Adopted first_diff for cross-country VAR consistency.
GERMANY,UNEMPLOYMENT,Non-stationary,Stationary,first_diff,first_diff,I1_STANDARD,Stationary,Stationary,False,Level = Non-stationary; first_diff = Stationary. Standard I(1) treatment.
GERMANY,GDP,Stationary,Stationary,level,level,LEVEL_STATIONARY,Stationary,Stationary,False,Level series is Stationary under joint ADF+KPSS at the specified regression spec.
GERMANY,M2,Non-stationary,Stationary,first_diff,first_diff,I1_STANDARD,Stationary,Stationary,False,Level = Non-stationary; first_diff = Stationary. Standard I(1) treatment.
