country,indicator,registry_phase6_var_input,effective_phase6_var_input,override_applied,effective_transform_base
USA,CPI,yoy_pct,yoy_pct,False,yoy_pct
USA,POLICY_RATE,first_diff,first_diff,False,first_diff
USA,UNEMPLOYMENT,first_diff,first_diff,False,first_diff
USA,GDP,level,level,False,level
USA,M2,level,level,False,level
JAPAN,CPI,yoy_pct_with_regime_dummy,first_diff,True,first_diff
JAPAN,POLICY_RATE,first_diff,first_diff,False,first_diff
JAPAN,UNEMPLOYMENT,first_diff,first_diff,False,first_diff
JAPAN,GDP,level,level,False,level
JAPAN,M2,first_diff,first_diff,False,first_diff
UK,CPI,log_diff_pct_with_caveat,log_diff_pct,True,log_diff_pct
UK,POLICY_RATE,first_diff,first_diff,False,first_diff
UK,UNEMPLOYMENT,first_diff,first_diff,False,first_diff
UK,GDP,level,level,False,level
UK,M2,first_diff,first_diff,False,first_diff
GERMANY,CPI,yoy_pct_with_caveat,first_diff,True,first_diff
GERMANY,POLICY_RATE,first_diff,first_diff,False,first_diff
GERMANY,UNEMPLOYMENT,first_diff,first_diff,False,first_diff
GERMANY,GDP,level,level,False,level
GERMANY,M2,first_diff,first_diff,False,first_diff
