country,indicator,lag,col_used,pearson_r,n
USA,POLICY_RATE,0,USA_POLICY_RATE,0.3067,286
USA,POLICY_RATE,1,USA_POLICY_RATE_lag1,0.32767,286
USA,POLICY_RATE,3,USA_POLICY_RATE_lag3,0.27463,286
USA,POLICY_RATE,6,USA_POLICY_RATE_lag6,0.22925,286
USA,POLICY_RATE,12,USA_POLICY_RATE_lag12,0.21013,285
USA,UNEMPLOYMENT,0,USA_UNEMPLOYMENT,-0.06244,286
USA,UNEMPLOYMENT,1,USA_UNEMPLOYMENT_lag1,-0.08069,286
USA,UNEMPLOYMENT,3,USA_UNEMPLOYMENT_lag3,-0.0763,286
USA,UNEMPLOYMENT,6,USA_UNEMPLOYMENT_lag6,-0.09852,286
USA,UNEMPLOYMENT,12,USA_UNEMPLOYMENT_lag12,-0.06939,285
USA,GDP,0,USA_GDP,0.67558,286
USA,GDP,1,USA_GDP_lag1,0.71844,286
USA,GDP,3,USA_GDP_lag3,0.73661,286
USA,GDP,6,USA_GDP_lag6,0.6949,286
USA,GDP,12,USA_GDP_lag12,0.48653,286
USA,M2,0,USA_M2,-0.17071,286
USA,M2,1,USA_M2_lag1,-0.11932,286
USA,M2,3,USA_M2_lag3,-0.00831,286
USA,M2,6,USA_M2_lag6,0.13101,286
USA,M2,12,USA_M2_lag12,0.41302,286
JAPAN,POLICY_RATE,0,JAPAN_POLICY_RATE,0.15752,297
JAPAN,POLICY_RATE,1,JAPAN_POLICY_RATE_lag1,0.08103,296
JAPAN,POLICY_RATE,3,JAPAN_POLICY_RATE_lag3,0.12536,294
JAPAN,POLICY_RATE,6,JAPAN_POLICY_RATE_lag6,0.03168,291
JAPAN,POLICY_RATE,12,JAPAN_POLICY_RATE_lag12,0.04675,285
JAPAN,UNEMPLOYMENT,0,JAPAN_UNEMPLOYMENT,-0.07077,297
JAPAN,UNEMPLOYMENT,1,JAPAN_UNEMPLOYMENT_lag1,0.02279,296
JAPAN,UNEMPLOYMENT,3,JAPAN_UNEMPLOYMENT_lag3,0.0039,294
JAPAN,UNEMPLOYMENT,6,JAPAN_UNEMPLOYMENT_lag6,-0.05112,291
JAPAN,UNEMPLOYMENT,12,JAPAN_UNEMPLOYMENT_lag12,-0.00125,285
JAPAN,GDP,0,JAPAN_GDP,0.09718,297
JAPAN,GDP,1,JAPAN_GDP_lag1,0.11324,297
JAPAN,GDP,3,JAPAN_GDP_lag3,0.14217,295
JAPAN,GDP,6,JAPAN_GDP_lag6,0.11379,292
JAPAN,GDP,12,JAPAN_GDP_lag12,0.11535,286
JAPAN,M2,0,JAPAN_M2,-0.09319,297
JAPAN,M2,1,JAPAN_M2_lag1,-0.04656,296
JAPAN,M2,3,JAPAN_M2_lag3,-0.11509,294
JAPAN,M2,6,JAPAN_M2_lag6,-0.08831,291
JAPAN,M2,12,JAPAN_M2_lag12,-0.03348,285
UK,POLICY_RATE,0,UK_POLICY_RATE,0.15863,290
UK,POLICY_RATE,1,UK_POLICY_RATE_lag1,0.12316,289
UK,POLICY_RATE,3,UK_POLICY_RATE_lag3,0.05467,287
UK,POLICY_RATE,6,UK_POLICY_RATE_lag6,0.031,284
UK,POLICY_RATE,12,UK_POLICY_RATE_lag12,0.08249,278
UK,UNEMPLOYMENT,0,UK_UNEMPLOYMENT,-0.04056,290
UK,UNEMPLOYMENT,1,UK_UNEMPLOYMENT_lag1,0.04945,289
UK,UNEMPLOYMENT,3,UK_UNEMPLOYMENT_lag3,-0.02764,287
UK,UNEMPLOYMENT,6,UK_UNEMPLOYMENT_lag6,-0.08575,284
UK,UNEMPLOYMENT,12,UK_UNEMPLOYMENT_lag12,-0.03816,278
UK,GDP,0,UK_GDP,0.17244,290
UK,GDP,1,UK_GDP_lag1,0.18242,290
UK,GDP,3,UK_GDP_lag3,0.17264,288
UK,GDP,6,UK_GDP_lag6,0.203,285
UK,GDP,12,UK_GDP_lag12,0.14525,279
UK,M2,0,UK_M2,-0.10167,290
UK,M2,1,UK_M2_lag1,-0.09387,289
UK,M2,3,UK_M2_lag3,-0.04658,287
UK,M2,6,UK_M2_lag6,-0.00335,284
UK,M2,12,UK_M2_lag12,-0.04659,278
GERMANY,POLICY_RATE,0,GERMANY_POLICY_RATE,0.17799,290
GERMANY,POLICY_RATE,1,GERMANY_POLICY_RATE_lag1,0.10428,289
GERMANY,POLICY_RATE,3,GERMANY_POLICY_RATE_lag3,0.0733,287
GERMANY,POLICY_RATE,6,GERMANY_POLICY_RATE_lag6,0.08698,284
GERMANY,POLICY_RATE,12,GERMANY_POLICY_RATE_lag12,0.02858,278
GERMANY,UNEMPLOYMENT,0,GERMANY_UNEMPLOYMENT,-0.01556,290
GERMANY,UNEMPLOYMENT,1,GERMANY_UNEMPLOYMENT_lag1,-0.08205,289
GERMANY,UNEMPLOYMENT,3,GERMANY_UNEMPLOYMENT_lag3,-0.06763,287
GERMANY,UNEMPLOYMENT,6,GERMANY_UNEMPLOYMENT_lag6,-0.07255,284
GERMANY,UNEMPLOYMENT,12,GERMANY_UNEMPLOYMENT_lag12,0.04432,278
GERMANY,GDP,0,GERMANY_GDP,0.25972,290
GERMANY,GDP,1,GERMANY_GDP_lag1,0.26035,290
GERMANY,GDP,3,GERMANY_GDP_lag3,0.26184,288
GERMANY,GDP,6,GERMANY_GDP_lag6,0.2055,285
GERMANY,GDP,12,GERMANY_GDP_lag12,0.14175,279
GERMANY,M2,0,GERMANY_M2,-0.03747,290
GERMANY,M2,1,GERMANY_M2_lag1,-0.02677,289
GERMANY,M2,3,GERMANY_M2_lag3,-0.029,287
GERMANY,M2,6,GERMANY_M2_lag6,-0.02148,284
GERMANY,M2,12,GERMANY_M2_lag12,-0.06586,278
