country,horizon,response,rank,shock,share
GERMANY,1,CPI,1,UNEMPLOYMENT,0.9268
GERMANY,1,CPI,2,GDP,0.0404
GERMANY,1,CPI,3,POLICY_RATE,0.0229
GERMANY,1,GDP,1,UNEMPLOYMENT,0.9994
GERMANY,1,GDP,2,GDP,0.0006
GERMANY,1,GDP,3,CPI,0.0
GERMANY,1,M2,1,UNEMPLOYMENT,0.8749
GERMANY,1,M2,2,GDP,0.089
GERMANY,1,M2,3,POLICY_RATE,0.0195
GERMANY,1,POLICY_RATE,1,UNEMPLOYMENT,0.9105
GERMANY,1,POLICY_RATE,2,GDP,0.0544
GERMANY,1,POLICY_RATE,3,POLICY_RATE,0.0209
GERMANY,1,UNEMPLOYMENT,1,UNEMPLOYMENT,0.9636
GERMANY,1,UNEMPLOYMENT,2,GDP,0.0281
GERMANY,1,UNEMPLOYMENT,3,CPI,0.0079
GERMANY,3,CPI,1,POLICY_RATE,0.8414
GERMANY,3,CPI,2,GDP,0.0993
GERMANY,3,CPI,3,CPI,0.0482
GERMANY,3,GDP,1,POLICY_RATE,0.9444
GERMANY,3,GDP,2,GDP,0.0352
GERMANY,3,GDP,3,CPI,0.0129
GERMANY,3,M2,1,POLICY_RATE,0.7965
GERMANY,3,M2,2,GDP,0.1153
GERMANY,3,M2,3,CPI,0.0497
GERMANY,3,POLICY_RATE,1,POLICY_RATE,0.8016
GERMANY,3,POLICY_RATE,2,GDP,0.1141
GERMANY,3,POLICY_RATE,3,CPI,0.049
GERMANY,3,UNEMPLOYMENT,1,POLICY_RATE,0.8929
GERMANY,3,UNEMPLOYMENT,2,GDP,0.0782
GERMANY,3,UNEMPLOYMENT,3,CPI,0.0202
JAPAN,1,CPI,1,UNEMPLOYMENT,0.9668
JAPAN,1,CPI,2,GDP,0.0238
JAPAN,1,CPI,3,POLICY_RATE,0.0069
JAPAN,1,GDP,1,UNEMPLOYMENT,0.9931
JAPAN,1,GDP,2,GDP,0.0069
JAPAN,1,GDP,3,CPI,0.0
JAPAN,1,M2,1,UNEMPLOYMENT,0.9547
JAPAN,1,M2,2,GDP,0.0259
JAPAN,1,M2,3,POLICY_RATE,0.0123
JAPAN,1,POLICY_RATE,1,UNEMPLOYMENT,0.9588
JAPAN,1,POLICY_RATE,2,GDP,0.026
JAPAN,1,POLICY_RATE,3,POLICY_RATE,0.0119
JAPAN,1,UNEMPLOYMENT,1,UNEMPLOYMENT,0.9675
JAPAN,1,UNEMPLOYMENT,2,GDP,0.0231
JAPAN,1,UNEMPLOYMENT,3,POLICY_RATE,0.0071
JAPAN,3,CPI,1,POLICY_RATE,0.9543
JAPAN,3,CPI,2,UNEMPLOYMENT,0.0238
JAPAN,3,CPI,3,M2,0.0104
JAPAN,3,GDP,1,POLICY_RATE,0.9906
JAPAN,3,GDP,2,CPI,0.0056
JAPAN,3,GDP,3,UNEMPLOYMENT,0.002
JAPAN,3,M2,1,POLICY_RATE,0.948
JAPAN,3,M2,2,UNEMPLOYMENT,0.0246
JAPAN,3,M2,3,M2,0.0103
JAPAN,3,POLICY_RATE,1,POLICY_RATE,0.9506
JAPAN,3,POLICY_RATE,2,UNEMPLOYMENT,0.0246
JAPAN,3,POLICY_RATE,3,M2,0.0104
JAPAN,3,UNEMPLOYMENT,1,POLICY_RATE,0.9637
JAPAN,3,UNEMPLOYMENT,2,UNEMPLOYMENT,0.0154
JAPAN,3,UNEMPLOYMENT,3,M2,0.0105
UK,1,CPI,1,UNEMPLOYMENT,0.9566
UK,1,CPI,2,M2,0.0181
UK,1,CPI,3,POLICY_RATE,0.0125
UK,1,GDP,1,UNEMPLOYMENT,0.9999
UK,1,GDP,2,GDP,0.0001
UK,1,GDP,3,CPI,0.0
UK,1,M2,1,UNEMPLOYMENT,0.9024
UK,1,M2,2,POLICY_RATE,0.0454
UK,1,M2,3,M2,0.0222
UK,1,POLICY_RATE,1,UNEMPLOYMENT,0.9189
UK,1,POLICY_RATE,2,POLICY_RATE,0.0351
UK,1,POLICY_RATE,3,M2,0.0225
UK,1,UNEMPLOYMENT,1,UNEMPLOYMENT,0.9751
UK,1,UNEMPLOYMENT,2,M2,0.0099
UK,1,UNEMPLOYMENT,3,CPI,0.0093
UK,3,CPI,1,POLICY_RATE,0.9331
UK,3,CPI,2,UNEMPLOYMENT,0.0209
UK,3,CPI,3,CPI,0.0168
UK,3,GDP,1,POLICY_RATE,0.9828
UK,3,GDP,2,CPI,0.01
UK,3,GDP,3,GDP,0.0039
UK,3,M2,1,POLICY_RATE,0.92
UK,3,M2,2,UNEMPLOYMENT,0.0241
UK,3,M2,3,CPI,0.0208
UK,3,POLICY_RATE,1,POLICY_RATE,0.9283
UK,3,POLICY_RATE,2,UNEMPLOYMENT,0.0207
UK,3,POLICY_RATE,3,CPI,0.0179
UK,3,UNEMPLOYMENT,1,POLICY_RATE,0.9394
UK,3,UNEMPLOYMENT,2,UNEMPLOYMENT,0.0212
UK,3,UNEMPLOYMENT,3,M2,0.0139
USA,1,CPI,1,UNEMPLOYMENT,0.7507
USA,1,CPI,2,POLICY_RATE,0.1294
USA,1,CPI,3,GDP,0.1143
USA,1,GDP,1,UNEMPLOYMENT,0.9844
USA,1,GDP,2,GDP,0.0156
USA,1,GDP,3,CPI,0.0
USA,1,M2,1,UNEMPLOYMENT,0.7023
USA,1,M2,2,GDP,0.1605
USA,1,M2,3,POLICY_RATE,0.127
USA,1,POLICY_RATE,1,UNEMPLOYMENT,0.7107
USA,1,POLICY_RATE,2,GDP,0.1595
USA,1,POLICY_RATE,3,POLICY_RATE,0.1225
USA,1,UNEMPLOYMENT,1,UNEMPLOYMENT,0.8917
USA,1,UNEMPLOYMENT,2,POLICY_RATE,0.0921
USA,1,UNEMPLOYMENT,3,GDP,0.0135
USA,3,CPI,1,POLICY_RATE,0.8725
USA,3,CPI,2,UNEMPLOYMENT,0.1111
USA,3,CPI,3,GDP,0.0095
USA,3,GDP,1,POLICY_RATE,0.9294
USA,3,GDP,2,UNEMPLOYMENT,0.0694
USA,3,GDP,3,GDP,0.0012
USA,3,M2,1,POLICY_RATE,0.8331
USA,3,M2,2,UNEMPLOYMENT,0.103
USA,3,M2,3,CPI,0.0395
USA,3,POLICY_RATE,1,POLICY_RATE,0.8567
USA,3,POLICY_RATE,2,UNEMPLOYMENT,0.1057
USA,3,POLICY_RATE,3,CPI,0.019
USA,3,UNEMPLOYMENT,1,POLICY_RATE,0.8859
USA,3,UNEMPLOYMENT,2,UNEMPLOYMENT,0.1063
USA,3,UNEMPLOYMENT,3,GDP,0.0052
