country,form,h,pair,layer_1,layer_2,n_layer_1,n_layer_2,n_paired,status,beta_option,dm_scope
USA,primary,1,ARIMA-VAR,ARIMA,VAR,70,58,58,OK,True,primary_h1_3way
USA,primary,1,ARIMA-Ridge,ARIMA,Ridge,70,58,58,OK,True,primary_h1_3way
USA,primary,1,VAR-Ridge,VAR,Ridge,58,58,58,OK,True,primary_h1_3way
USA,primary,3,VAR-Ridge,VAR,Ridge,58,58,58,OK,True,primary_hmulti_vr
USA,primary,6,VAR-Ridge,VAR,Ridge,58,58,58,OK,True,primary_hmulti_vr
USA,primary,12,VAR-Ridge,VAR,Ridge,58,58,58,OK,True,primary_hmulti_vr
JAPAN,primary,1,ARIMA-VAR,ARIMA,VAR,70,58,58,OK,True,primary_h1_3way
JAPAN,primary,1,ARIMA-Ridge,ARIMA,Ridge,70,58,58,OK,True,primary_h1_3way
JAPAN,primary,1,VAR-Ridge,VAR,Ridge,58,58,58,OK,True,primary_h1_3way
JAPAN,primary,3,VAR-Ridge,VAR,Ridge,58,58,58,OK,True,primary_hmulti_vr
JAPAN,primary,6,VAR-Ridge,VAR,Ridge,58,58,58,OK,True,primary_hmulti_vr
JAPAN,primary,12,VAR-Ridge,VAR,Ridge,58,58,58,OK,True,primary_hmulti_vr
UK,primary,1,ARIMA-VAR,ARIMA,VAR,63,51,51,OK,True,primary_h1_3way
UK,primary,1,ARIMA-Ridge,ARIMA,Ridge,63,51,51,OK,True,primary_h1_3way
UK,primary,1,VAR-Ridge,VAR,Ridge,51,51,51,OK,True,primary_h1_3way
UK,primary,3,VAR-Ridge,VAR,Ridge,51,51,51,OK,True,primary_hmulti_vr
UK,primary,6,VAR-Ridge,VAR,Ridge,51,51,51,OK,True,primary_hmulti_vr
UK,primary,12,VAR-Ridge,VAR,Ridge,51,51,51,OK,True,primary_hmulti_vr
GERMANY,primary,1,ARIMA-VAR,ARIMA,VAR,63,51,51,OK,True,primary_h1_3way
GERMANY,primary,1,ARIMA-Ridge,ARIMA,Ridge,63,51,51,OK,True,primary_h1_3way
GERMANY,primary,1,VAR-Ridge,VAR,Ridge,51,51,51,OK,True,primary_h1_3way
GERMANY,primary,3,VAR-Ridge,VAR,Ridge,51,51,51,OK,True,primary_hmulti_vr
GERMANY,primary,6,VAR-Ridge,VAR,Ridge,51,51,51,OK,True,primary_hmulti_vr
GERMANY,primary,12,VAR-Ridge,VAR,Ridge,51,51,51,OK,True,primary_hmulti_vr
USA,secondary,1,ARIMA-Ridge,ARIMA,Ridge,70,58,58,OK,False,usa_dual_form
